DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
ene-47|0,0214091600|0,0003061506|0,1309520000|0,0905920000|0,0211030094|0,0902858494
feb-47|-0,0079974510|0,0003061506|0,0294740000|-0,0383390000|-0,0083036016|-0,0386451506
mar-47|-0,0147036100|0,0003061506|-0,0207040000|-0,0458470000|-0,0150097606|-0,0461531506
abr-47|-0,0394727700|0,0003061506|-0,0211420000|-0,0211270000|-0,0397789206|-0,0214331506
may-47|-0,0012770540|0,0003061506|-0,0259180000|-0,0107910000|-0,0015832046|-0,0110971506
jun-47|0,0542952800|0,0003061506|0,0606740000|0,0443640000|0,0539891294|0,0440578494
jul-47|0,0394221800|0,0006195512|0,0275420000|0,0739440000|0,0388026288|0,0733244488
ago-47|-0,0230768300|0,0006278275|-0,0082470000|-0,0360660000|-0,0237046575|-0,0366938275
sep-47|-0,0099583080|0,0006865682|-0,0084210000|0,0040820000|-0,0106448762|0,0033954318
oct-47|0,0206580800|0,0007287387|0,0127390000|0,0000000000|0,0199293413|-0,0007287387
nov-47|-0,0174964600|0,0007832834|-0,0230610000|-0,0410960000|-0,0182797434|-0,0418792834
dic-47|0,0303124600|0,0007915449|0,0130430000|0,0328570000|0,0295209151|0,0320654551
ene-48|-0,0378370700|0,0008171508|-0,0450640000|-0,0384620000|-0,0386542208|-0,0392791508
feb-48|-0,0401438400|0,0008254092|-0,0494380000|-0,0509090000|-0,0409692492|-0,0517344092
mar-48|0,0814657000|0,0008254092|0,0503600000|0,1157090000|0,0806402908|0,1148835908
abr-48|0,0301694300|0,0008254092|0,0136990000|-0,0312500000|0,0293440208|-0,0320754092
may-48|0,0841427700|0,0008295381|0,1531530000|0,2043010000|0,0833132319|0,2034714619
jun-48|0,0078820320|0,0008295381|0,0079050000|-0,0113100000|0,0070524939|-0,0121395381
jul-48|-0,0521430500|0,0008254092|-0,0274510000|-0,0699090000|-0,0529684592|-0,0707344092
ago-48|0,0153390000|0,0004721055|0,0221770000|0,0326800000|0,0148668945|0,0322078945
sep-48|-0,0264540100|0,0005060889|-0,0340680000|0,0000000000|-0,0269600989|-0,0005060889
oct-48|0,0696666100|0,0005102324|0,0809130000|0,0833330000|0,0691563776|0,0828227676
nov-48|-0,0980717400|0,0005392312|-0,1074860000|-0,1183430000|-0,0986109712|-0,1188822312
dic-48|0,0360150700|0,0009508450|0,0467710000|0,0570470000|0,0350642250|0,0560961550
ene-49|0,0025635090|0,0009590912|0,0340430000|-0,0160770000|0,0016044178|-0,0170360912
feb-49|-0,0311345600|0,0009590912|-0,0329220000|-0,0588240000|-0,0320936512|-0,0597830912
mar-49|0,0335980800|0,0009590912|0,0347830000|0,0659720000|0,0326389888|0,0650129088
abr-49|-0,0192348600|0,0009549682|-0,0336130000|-0,0231020000|-0,0201898282|-0,0240569682
may-49|-0,0287924200|0,0009549682|-0,0217390000|-0,0506760000|-0,0297473882|-0,0516309682
jun-49|0,0027072040|0,0009005264|0,0227270000|0,0035590000|0,0018066776|0,0026584736
jul-49|0,0618395100|0,0008460520|0,1000000000|0,0683450000|0,0609934580|0,0674989480
ago-49|0,0219347500|0,0008716425|0,0202020000|0,0033670000|0,0210631075|0,0024953575
sep-49|0,0273939100|0,0008757693|0,0181820000|0,0100670000|0,0265181407|0,0091912307
oct-49|0,0303307800|0,0008798960|0,0734130000|0,0202020000|0,0294508840|0,0193221040
nov-49|0,0197634600|0,0009178523|0,0443620000|0,0561060000|0,0188456077|0,0551881477
dic-49|0,0526322100|0,0009005264|0,0790960000|0,0781250000|0,0517316836|0,0772244736
ene-50|0,0183049200|0,0009384741|0,0226880000|0,0474780000|0,0173664459|0,0465395259
feb-50|0,0196126000|0,0009425979|0,0494880000|0,0481590000|0,0186700021|0,0472164021
mar-50|0,0081743610|0,0009467215|0,0149250000|0,0129730000|0,0072276395|0,0120262785
abr-50|0,0454957500|0,0009764060|0,1209150000|0,0459460000|0,0445193440|0,0449695940
may-50|0,0468204300|0,0009681613|0,0714290000|0,0180880000|0,0458522687|0,0171198387
jun-50|-0,0524983200|0,0009681613|-0,0318120000|-0,0664970000|-0,0534664813|-0,0674651613
jul-50|0,0158699800|0,0009681613|-0,0257140000|0,0137740000|0,0149018187|0,0128058387
ago-50|0,0471962700|0,0010851665|0,1011730000|0,0380430000|0,0461111035|0,0369578335
sep-50|0,0596797900|0,0011016340|0,0904030000|0,0073300000|0,0585781560|0,0062283660
oct-50|0,0042117530|0,0011148058|0,0229590000|0,0236840000|0,0030969472|0,0225691942
nov-50|0,0230410700|0,0011518415|-0,0274310000|0,0000000000|0,0218892285|-0,0011518415
dic-50|0,0554403200|0,0011312680|0,0000000000|0,0572180000|0,0543090520|0,0560867320
ene-51|0,0646932200|0,0011394980|0,0783780000|0,0552760000|0,0635537220|0,0541365020
feb-51|0,0147055900|0,0011477272|0,0275690000|0,0642860000|0,0135578628|0,0631382728
mar-51|-0,0176228100|0,0012571051|0,0323380000|-0,0089490000|-0,0188799151|-0,0102061051
abr-51|0,0493798200|0,0012234011|0,0337350000|0,0160180000|0,0481564189|0,0147945989
may-51|-0,0296256700|0,0012612145|-0,0559440000|-0,0337840000|-0,0308868845|-0,0350452145
jun-51|-0,0253821500|0,0013072270|-0,0654910000|-0,0023310000|-0,0266893770|-0,0036382270
jul-51|0,0703261800|0,0013450055|0,0242590000|0,0592420000|0,0689811745|0,0578969945
ago-51|0,0501639300|0,0013655308|0,0736840000|0,0671140000|0,0487983992|0,0657484692
sep-51|0,0028817280|0,0013819477|0,0250000000|0,0419290000|0,0014997803|0,0405470523
oct-51|-0,0129013300|0,0013031196|-0,0195120000|-0,0835030000|-0,0142044496|-0,0848061196
